% Model:              P1_2_Durchflussmessung_3D_Ring_O_Albertin_Schegg.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 8 2024, 22:50
% Table:              Accumulated Probe Table 2 - 
% Material Switch 1 index                         v_Wasser (m/s)                                    Temperature (degC), Sensor_1_Aluminium            Temperature (degC), Sensor_2_Aluminium            Temperature (degC), Sensor_1_Glas                 Temperature (degC), Sensor_2_Glas
1                                                 0.49                                              20.047771995415925                                20.13554449921254                                 20.047771995415925                                20.13554449921254
1                                                 0.5                                               20.046442633358016                                20.133166582655953                                20.046442633358016                                20.133166582655953
1                                                 0.51                                              20.0451605157907                                  20.130866284842124                                20.0451605157907                                  20.130866284842124
1                                                 0.52                                              20.04392257048953                                 20.128641266897674                                20.04392257048953                                 20.128641266897674
1                                                 0.53                                              20.042727128308012                                20.126487345577512                                20.042727128308012                                20.126487345577512
1                                                 0.54                                              20.041572482834653                                20.124401021656904                                20.041572482834653                                20.124401021656904
1                                                 0.55                                              20.040457619683757                                20.12237909350696                                 20.040457619683757                                20.12237909350696
1                                                 0.56                                              20.03938163915296                                 20.120417808690917                                20.03938163915296                                 20.120417808690917
1                                                 0.5700000000000001                                20.03834132662055                                 20.118515278196003                                20.03834132662055                                 20.118515278196003
1                                                 0.58                                              20.037335269696992                                20.11666891010404                                 20.037335269696992                                20.11666891010404
1                                                 0.59                                              20.036362301027793                                20.11487728309759                                 20.036362301027793                                20.11487728309759
1                                                 0.6                                               20.03542107758972                                 20.113136883999047                                20.03542107758972                                 20.113136883999047
1                                                 0.61                                              20.034510602869716                                20.111446472832228                                20.034510602869716                                20.111446472832228
1                                                 0.62                                              20.033630246143304                                20.109803812921047                                20.033630246143304                                20.109803812921047
1                                                 0.63                                              20.03277787585489                                 20.108206105446527                                20.03277787585489                                 20.108206105446527
1                                                 0.64                                              20.03195259255621                                 20.10665257515197                                 20.03195259255621                                 20.10665257515197
1                                                 0.65                                              20.031154206097977                                20.105142285706428                                20.031154206097977                                20.105142285706428
1                                                 0.66                                              20.030380804471537                                20.10367271815841                                 20.030380804471537                                20.10367271815841
1                                                 0.67                                              20.02963188697658                                 20.102241559415297                                20.02963188697658                                 20.102241559415297
1                                                 0.6799999999999999                                20.0289061067751                                  20.10084742584905                                 20.0289061067751                                  20.10084742584905
1                                                 0.69                                              20.028202474231115                                20.099489298503066                                20.028202474231115                                20.099489298503066
1                                                 0.7                                               20.02752042061918                                 20.09816541529013                                 20.02752042061918                                 20.09816541529013
1                                                 0.71                                              20.026858869192683                                20.096874010842892                                20.026858869192683                                20.096874010842892
1                                                 0.72                                              20.026217739093635                                20.0956147007431                                  20.026217739093635                                20.0956147007431
1                                                 0.73                                              20.025596063163245                                20.09438622312614                                 20.025596063163245                                20.09438622312614
1                                                 0.74                                              20.02499273078318                                 20.093187119036                                   20.02499273078318                                 20.093187119036
1                                                 0.75                                              20.024407711417858                                20.092016978705868                                20.024407711417858                                20.092016978705868
1                                                 0.76                                              20.023840044941448                                20.09087529286608                                 20.023840044941448                                20.09087529286608
1                                                 0.77                                              20.02328923720404                                 20.089760121459985                                20.02328923720404                                 20.089760121459985
1                                                 0.78                                              20.02275449996738                                 20.088670663232026                                20.02275449996738                                 20.088670663232026
1                                                 0.79                                              20.022234976308084                                20.087606113739334                                20.022234976308084                                20.087606113739334
1                                                 0.8                                               20.021730752164167                                20.08656583160236                                 20.021730752164167                                20.08656583160236
1                                                 0.8099999999999999                                20.021240778636802                                20.085548541661513                                20.021240778636802                                20.085548541661513
1                                                 0.82                                              20.020764708886123                                20.08455384461918                                 20.020764708886123                                20.08455384461918
1                                                 0.83                                              20.02030194893327                                 20.083580676736855                                20.02030194893327                                 20.083580676736855
1                                                 0.84                                              20.01985169375841                                 20.08262854034282                                 20.01985169375841                                 20.08262854034282
1                                                 0.85                                              20.01941370468067                                 20.08169658302608                                 20.01941370468067                                 20.08169658302608
1                                                 0.86                                              20.018987682873753                                20.080784451386076                                20.018987682873753                                20.080784451386076
1                                                 0.87                                              20.01857340813162                                 20.079891269803028                                20.01857340813162                                 20.079891269803028
1                                                 0.88                                              20.018170333685166                                20.07901659560058                                 20.018170333685166                                20.07901659560058
1                                                 0.89                                              20.017778399674125                                20.07815941201582                                 20.017778399674125                                20.07815941201582
1                                                 0.9                                               20.017397081052227                                20.077320239672584                                20.017397081052227                                20.077320239672584
1                                                 0.91                                              20.017025941106006                                20.076498002586955                                20.017025941106006                                20.076498002586955
1                                                 0.92                                              20.01666462323816                                 20.075692035127222                                20.01666462323816                                 20.075692035127222
1                                                 0.93                                              20.016313060823343                                20.074902306997174                                20.016313060823343                                20.074902306997174
